title,synopsis,genres,episodes,score,characters
Black Cat,"Train Heartnet is the infamous gunman 'Black Cat', a cold-blooded assassin who works for the organization known as 'Chronos', bearing the mark XIII on his body. Most of his life was surrounded by violence, so Train is quiet, asocial and uncaring. However his life changes as he encounters the mysterious Sweeper (bounty hunter), Saya. Her unique way of living interested Train but tragedy occurs, resulting in Train changing the way he has lived towards the life of a Sweeper with newfound friends Sven and Eve.","Action, Adventure, Comedy, Sci-Fi",23.0,69,"Zagine Axeloake, Creed Diskenth, Train Heartnet, Beluga Heard, Lib Tyrant, Leon Elliott, Silphy Deacroft, Sven Vollfied, Jenos Hazard, River Zastory, Echidna Parass, Madame Freesia, Charden Flamberg, Rinslet Walker, Saya Minatsuki, Flitt Morris, Kyouko Kirisaki, Ellie, Shiki, Sephiria Arks, Adam, Ling Xiaoli, Belze Rochefort, Baldorias Fanghini, Tearju Lunatique"
CLUSTER EDGE,"Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. <br><br>
(Source: Sentai Filmworks) ","Action, Fantasy, Sci-Fi",25.0,55,"Beryl Jasper, Rhodo Chrosite, Hematite Ramsbeckite, Vesuvia Valentino, Chrome, Agate Fluorite, Fon Aina Sulfur, Chalcedony Renierite, No. 1 (Chrome Team), No. 2 (Chrome Team), No. 3 (Chrome Team), Ludwigite, Beryl no Haha, Huegel, Sepia (Chrome Team), Embassador, Boy-chou, Bellboy, Noblewoman, Noblewoman, Noblewoman, Noblewoman, Apprentice Conductor, Soldier, Soldier"
Full Metal Panic!,"Sousuke Sagara, a seventeen year old military specialist working for the secret organization MITHRIL, has been assigned to protect the latest ""Whispered"" candidate Kaname Chidori. To complete this task Sousuke will have to deal with enemies from his past as well as the occasional panty thief. Unfortunately for Sousuke, the toughest part of his mission isn't only protecting Miss Chidori but also getting used to living an average High School students life, no easy task for someone raised on the battlefield.<br><br>
(Source: Anime News Network)","Action, Comedy, Mecha, Sci-Fi",24.0,72,"Sousuke Sagara, Kaname Chidori, Kurz Weber, Shinji Kazama, Nora Lemming, Teletha Testarossa, Andrei Kalinin, Kugayama Takuma, Richard Mardukas, AL, Kyouko Tokiwa, Zaied, Melissa Mao, Seina, Eri Kagurazaka, Marcy Takenaka, Mizuki Inaba, Gauron, Lian Shaopin, Jackson, Grace Wiseman, Mira Kudan, Gail McAllen, Killy B. Sailor, Edward Sachs"
Full Metal Panic? Fumoffu,"It's back-to-school mayhem with Kaname Chidori and her war-freak classmate Sousuke Sagara as they encounter more misadventures in and out of Jindai High School. But when Kaname gets into some serious trouble, Sousuke takes the guise of Bonta-kun - the gun-wielding, butt-kicking mascot. And while he struggles to continue living as a normal teenager, Sousuke also has to deal with protecting his superior officer Teletha Testarossa, who has decided to take a vacation from Mithril and spend a couple of weeks as his and Kaname's classmate.
<br><br>
(Source: Anime News Network)","Action, Comedy, Romance",12.0,77,"Sousuke Sagara, Kaname Chidori, Atsunobu Hayashimizu, Kurz Weber, Mr. Mizuhoshi, Shinji Kazama, Pony-Man, Shiori Kudou, Kozue Nishino, Ren Mikihara, Yoko Wakana, Issei Tsubaki, Teletha Testarossa, Bonta-kun, Andrei Kalinin, Richard Mardukas, Kyouko Tokiwa, Ena Saeki, Melissa Mao, Mizuki Inaba, Masatami Hyuga, Mari Akutsu, Eri Kagurazaka, Tomomi Isomura, Maya Mukai"
Full Metal Panic! The Second Raid,"This series is set about two months after the events ocurred in the Tuatha de Danaan at the end of the original series. Mithril becomes aware of a secret organization that has technology able to counter the ECS (Electronic Cloaking System) mode. This organization, known as Amalgam, also has ""Black Technology"", obtained from ""Whispered"" like Kaname Chidori, and like the other intelligency agencies, they intend to obtain more. However, when Sousuke's mission to protect Chidori is terminated by Mithril, all seems to be in place for Amalgam's plans... Like many of its fans know, it is based of the FMP novel ""The End of Day by Day.""
<br><br>
(Source: Anime News Network)","Action, Mecha, Sci-Fi",13.0,77,"Sousuke Sagara, Kaname Chidori, Kurz Weber, Shinji Kazama, Leonard Testarossa, Wraith, Yu Lan Xia, Belfangan Clouseau, Nora Lemming, Teletha Testarossa, Andrei Kalinin, Richard Mardukas, AL, Kyouko Tokiwa, Melissa Mao, Gates, Yu Fan Xia, Doumae, Gavin Hunter, Eri Kagurazaka, Gauron, Yang Jun-Kyu, Shiori Kudou, Vincent Bruno, Mayer Amit"
Gakuen Alice,"Sakura Mikan and Imai Hotaru are best friends, and Mikan is shocked to find that Hotaru is transferring to a school in Tokyo for gifted students like her - Alice Academy. Mikan hears rumors that the students are like prisoners there, and worried what would happen to Hotaru, she runs away to head to the school herself. She finds out all the wonderful things about this school. And she heads into a great adventure!!","Comedy, Drama, Fantasy, Supernatural",26.0,73,"Reo Mouri, Hotaru Imai, Narumi Anjo, Persona, Nonoko Ogasawara, Youichi Hijiri, Sumire Shouda, Noda, Misaki, Natsume Hyuuga, Mikan Sakura, Kaname Sonou, Misaki Harada, Mr. Bear, Shuuichi Sakurano, Kokoro Yome, Jinno, Subaru Imai, Yuu Tobita, Anna Umenomiya, Wakako Usami, Ruka Nogi, Tsubasa Andou, Kitsuneme, Yura Otonashi"
Soukyuu no Fafner,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.
<br><br>
(Source: Anime News Network)
<br><br>
<i>Note: The last episode aired with a runtime of ~48 minutes as opposed to the standard 24 minute long episode. In the DVD release and subsequent home video releases of the series, the final episode was split into two separate ~24 minute long episodes.</i>","Drama, Mecha, Sci-Fi",25.0,69,"Kazuki Makabe, Yukie Kariya, Sakura Kaname, Yumiko Toomi, Kouyou Kasugai, Canon Memphis, Kenji Kondou, Mamoru Kodate, Seri Tatekami, Fumihiko Makabe, Soushi Minashiro, Karin Kuramae, Maya Toomi, Shouko Hazama, Chizuru Toomi, Kyousuke Mizoguchi, Michio Hino, Tsubaki Minashiro, Rina Nishio, Chisato Kodate, Akira Nishio, Hiroto Douma, Ayano Kondou, Olga Katina Betrenko, Jeremy Lee Marcy"
Mahou Shoujo Lyrical Nanoha,"3rd grader Takamachi Nanoha stumbled upon an injured talking ferret after hearing his telepathic cries for help. The ferret turned out to be Yuuno, an archeologist and mage from another world who had accidentally scattered the dangerous Jewel Seeds throughout Earth. Without the strength to collect the Jewel Seeds, Yuuno had resumed a ferret form and needed someone else to take on the task for him. He gave a red jewel to Nanoha explaining to her with this she could transform and use magic to combat the monsters that threatened them due to the Jewel Seeds. But the monsters are the least of their worries, as Yuuno and Nanoha are not the only ones out to collect the Jewel Seeds. ","Action, Comedy, Drama, Fantasy, Mahou Shoujo",13.0,71,"Alisa Bannings, Nanoha Takamachi, Suzuka Tsukimura, Amy Limietta, Lindy Harlaown, Alicia Testarossa, Fate Testarossa, Kyouya Takamachi, Chrono Harlaown, Arf, Yuuno Scrya, Miyuki Takamachi, Shinobu Tsukimura, Noel K. Ehrlichkeit, Farin K. Ehrlichkeit, Shirou Takamachi, Precia Testarossa, Momoko Takamachi, Bardiche, Raising Heart"
Mahou Shoujo Lyrical Nanoha A's,"After the events of the Lost Logia case, Nanoha waits patiently for the day she can reunite with her newfound friend, Fate. Although being an exceptionally powerful mage, Nanoha spends her days normally with her friends on Earth. But peace is once again suddenly shattered, as Nanoha is without warning attacked by a powerful mage. A group of violent mages have been attacking anything with magic power for their own goals. Nanoha and Fate, along with their friends Yuuno, Arf, Chrono and the Space/Time Administration Bureau must once more band together to stop these renegade mages from hurting anyone or anything else. Takes place after the first season of Lyrical Nanoha.","Action, Comedy, Drama, Fantasy, Mahou Shoujo",13.0,78,"Chrono Harlaown, Alisa Bannings, Nanoha Takamachi, Suzuka Tsukimura, Amy Limietta, Linith, Lindy Harlaown, Alicia Testarossa, Fate Testarossa, Kyouya Takamachi, Hayate Yagami, Vita, Arf, Reinforce II, Shamal, Reinforce I, Yuuno Scrya, Signum, Miyuki Takamachi, Sachie Ishida, Lotte Liese, Noel K. Ehrlichkeit, Alia Liese, Leti Lowran, Zafila"
SHUFFLE!,"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.","Comedy, Drama, Ecchi, Fantasy, Romance",24.0,65,"Rin Tsuchimi, Forbesii, Eustoma, Kaede Fuyou, Lisianthus Eustoma, Asa Shigure, Nadeshiko Benibara, Nerine, Lycoris Forbesii, Kareha, Tsubomi, Ama Shigure, Itsuki Midoriba, Primula, Mayumi Thyme"
Kidou Senshi Gundam,"What would you do if you suddenly found yourself in the middle of a war? Teenager Amuro Ray sees his life shattered when war comes to his home. During the chaos, Amuro finds himself inside the mobile suit Gundam, the Earth Federation's new secret weapon, and he somehow gets it to work. Amuro and the other refugees flee their homeland on the warship White Base. This group of children and inexperienced soldiers will change the outcome of the war. <br><br>
(Source: Sunrise)","Drama, Mecha, Sci-Fi",43.0,76,"Woody Malden, Kai Shiden, Amuro Ray, Gihren Zabi, Tem Ray, Cameron Bloom, Job John, Mirai Yashima, Katz Hawin, Johann Abraham Revil, Kycilia Zabi, Bright Noa, Char Aznable, Crowley Hamon, Eschonbach, Ryu Jose, Dozle Zabi, Icelina Eschonbach, Lalah Sune, Sleggar Law, Frau Bow, Hayato Kobayashi, Ramba Ral, Garma Zabi, Sayla Mass"
Kidou Senshi Gundam: Dai 08 MS Shotai,"UC 0079 - After the success of Operation Odessa, more and more Earth Federation soldiers are sent to earth to free it from the hands of the Principality of Zeon. As Zeonic troops retreat to unknown parts of the world, it's up to the Earth Federation Ground Force to find them and exterminate them. <br><br>
Ensign Shiro Amada is made leader of the 08th MS Team, leading a team of Ground Type Gundams into battle. His mission: to distract the enemy and find a mysterious new Zeon weapon. But can he complete it when he falls in love with a Zeon pilot, named Aina Sahalin? <br><br>
(Source: Otakufreakmk2, copyedited by Kolokotronis) ","Adventure, Drama, Mecha, Romance, Sci-Fi",12.0,77,"Shiro Amada, Aina Sahalin, Karen Joshua, Eledore Massis, Michel Ninorich, Terry Sanders Jr., Ginias Sahalin, Norris Packard, Kiki Rosita, Yuri Kellarny, Bjorn Abust, Baresto Rosita, Dell, Chibi, Maria, Hige, Barry, Arth, Jidan Nickard, Mike, Rob, Kojima, Ethan Ryer, Cynthia, Noppo"
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"The Side 6 space colony is a neutral oasis in the war between Zeon and the Earth Federation. Alfred Izuruha, a ten-year-old boy, finds relief from the tedium of schoolwork by following the war's progress and collecting military memorabilia. When rumors that the colony is hiding a Federation mobile suit development program bring Zeon special forces to Side 6, Alfred views them as a source of additional excitement. But, as the Zeon mission becomes more urgent and both sides take increasingly desperate measures, he might be in for an unexpectedly close look at the reality of war.","Adventure, Drama, Mecha, Sci-Fi",6.0,80,"Alfred Izuruha, Christina Mackenzie, Bernard Wiseman, Killing, Charlie, Dorothy, Gabriel Ramirez Garcia, Hardy Steiner, Michiko Izuruha, Ems Izuruha, Mikhail Kaminsky, Chris no Chichi, Chris no Haha, Dick Lumnba, Stuart, Lugenth, von Helsing, Chay, Telcott, Andy, Shirei-kan, Operator, Sensei, Kensa-kan, Keikan"
Kidou Senshi Gundam: Dai 08 MS Shotai - Miller's Report,"Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.
<br><br>
(Source: Anime News Network)","Drama, Mecha, Sci-Fi",1.0,63,"Alice Miller, Jidan Nickard, Eledore Massis, Dell, Topp, Arth, Karen Joshua, Kojima, Michel Ninorich, Kiki Rosita, Shiro Amada, Aina Sahalin, Terry Sanders Jr., Jacob, Sally, Chibi, Baresto Rosita, Hige, Noppo"
Kidou Senshi Gundam 0083: STARDUST MEMORY,"U.C. 0083 - Three years after the end of the catastrophic One Year War, peace on Earth and the colonies is shattered by the presence of the Delaz Fleet, a rogue Zeon military group loyal to the ideals of the late dictator Gihren Zabi. Delaz Fleet's ace pilot Anavel Gato, once hailed as ""The Nightmare of Solomon"", infiltrates the Federation's Torrington base in Australia and steals the nuclear-armed Gundam GP02A ""Physalis"" prototype. Rookie pilot Kou Uraki - with the aid of Anaheim Electronics engineer Nina Purpleton and the crew of the carrier Albion - pilots the Gundam GP01 ""Zephyranthes"" prototype in an attempt to recover the stolen Gundam unit and prevent another war from breaking out. <br><br>
(Source: Anime News Network)","Adventure, Drama, Mecha, Sci-Fi",13.0,67,"Kou  Uraki, South Burning, Alpha A. Bate, Eiphar Synapse, Nina Purpleton, Chap Adel, Aiguille Delaz, Bernard Monsha, Chuck Keith, Anavel Gato, Cima Garahau, Bask Om, Mora Boscht, Haman Karn, Jamitov Hymen"
Kidou Senshi Zeta Gundam,"The year is Universal Century 0087. Seven years have passed since the end of the One Year War. In its zeal to stamp out any remaining opposition, the Earth Federation has organized the Titans, an elite fighting force. However, the Titans soon get out of hand, committing atrocities on par with the worst the Principality of Zeon had to offer during the war. In response, dissatisified citizens, former Zeon soldiers, and even members of the Earth Federal Forces form a resistance group known as the Anti-Earth Union Group, or AEUG. As the next war is brewing, a small AEUG group arrives at Side 7 to investigate the new Gundam Mk. II...
<br><br>
(Source: Anime News Network)","Drama, Mecha, Sci-Fi",50.0,78,"Jerid Messa, Mineva Zabi, Kamille Bidan, Henken Bekkener, Amuro Ray, Yazan Gable, Reccoa Londe, Haman Karn, Mouar Pharoah, Four Murasame, Sarah Zabiarov, Bright Noa, Char Aznable, Paptimus Scirocco, Kai Shiden, Bask Om, Emma Sheen, Jamaican Daninghan, Katz Hawin, Hayato Kobayashi, Beltorchika Irma, Kacricon Cacooler, Kikka Kitamoto, Haro, Letz Cofan"
Kidou Senshi Gundam Double Zeta,"It is the year 0088 of the Universal Century in Mobile Suit Gundam ZZ. The badly damaged assault cruiser Argama docks at the run-down space colony of Shangri-La for much-needed repairs. While the Argama is in drydock, a young junk dealer named Judau Ashta sneaks aboard in an attempt to steal the Zeta Gundam. He wants to sell it in order to help his sister, but instead he finds himself coerced into joining the Argama’s crew. Unfortunately for Judau, the Argama is being pursued by a dedicated Neo Zeon officer named Mashymre Cello. In order to protect both his sister and himself, Judau must master the Argama’s newest mobile suit, the ZZ Gundam.<br>
<br>
(Source: Right Stuf)","Drama, Mecha, Sci-Fi",47.0,66,"Mineva Zabi, Judau Ashta, Kamille Bidan, Mashymre Cello, Lunan, Yazan Gable, Haman Karn, Iino Abbav, Roux Louka, Bright Noa, Elpeo Ple, Ple Two, Leina Ashta, Sayla Mass, Hayato Kobayashi, Glemy Toto, Elle Vianno, Rakan Dahkaran, Gottn Goh, August Gidan, Haro, Fa Yuiry, Arius Moma, Emary Ounce, Chara Soon"
Kidou Senshi Gundam: Gyakushuu no Char,"U.C. 0093. 13 years have passed since the events of the original Mobile Suit Gundam series. But the foundations of peace are once again threatened by a new Neo Zeon army, led by the infamous Char Aznable! Their ultimate goal is to plunge Earth into a nuclear winter, forcing humanity to emigrate completely into space. Armed with the state-of-the-art Nu Gundam, Amuro Ray and his Federation comrades are all that stand against Neo Zeon. Torn between vengeance, duty, and love - the final battle is at hand!
<br><br>
(Source: Sunrise)","Drama, Mecha, Sci-Fi",1.0,75,"Gyunei Guss, Hathaway Noa, Amuro Ray, Nanai Miguel, Rezin Schnyder, Adenaur Paraya, Mirai Yashima, Bright Noa, Char Aznable, Lalah Sune, Quess Paraya, Cameron Bloom, Haro, Kayra Su, Astonaige Medoz, Cheimin Noa, Horst Harness, October Saran, Meran, Christina, Katherine, Lyle, Anna Hanna, Kaises M. Buyer, Chan Agi"
Kidou Senshi Gundam F91,"U.C. 0123.  Mobile Suit Gundam F91 is Gundam creator Yoshiyuki Tomino's attempt to launch a new Gundam saga, set thirty years after Char's Counterattack.<br><br>
The story of Gundam F91 revolves around teenage space colonist Seabook Arno, his friend Cecily Fairchild, and the efforts of the Crossbone Vanguard militia, led by Cecily's grandfather Meitzer Ronah, to establish an aristocracy known as ""Cosmo Babylonia"".<br><br>
In keeping with Gundam tradition, the civilian Seabook is forced by circumstance to pilot the F91 Gundam, coincidentally designed in part by his estranged mother, Dr. Monica Arno.<br><br>
(Source: Wikipedia)","Drama, Mecha, Sci-Fi",1.0,63,"Cecily Fairchild, Seabook Arno, Carozzo Ronah, Annemarie Bourget, Bardo Chuui, Zabine Chareux, Meitzer Ronah, Reese Arno, Monica Arno, Dorel Ronah, Leslie Arno, Dwight Camry, Drosie Mua, Gillet Krueger, Berghito Pirieau, Georgi Azuma, Migen Maujin, Arthur Jung, Cosmo Eigesse, Nadia Ronah, Theo Fairchild, Leahlee Edaberry, Sam Ehrug, Bertuo Rodriguez, Minmi Editoh"
Kidou Senshi Victory Gundam,"It is Universal Century 0153. On the space colonies located at Side 2, the Zanscare Empire has come to power and it holds onto that power through liberal use of the guillotine. With its forces invading the Earth and its space fleets preparing to subjugate the other Sides, the Zanscare Empire has nothing to fear from the weakening Earth Federation. It is opposed only by the League Militaire, whose state of the art mobile suits and young pilots comprise the only real resistance movement. Now, thirteen-year-old Uso Ewin has been dragged into the war by a battle near his home in Eastern Europe. As the Newtype pilot of the Victory Gundam, he fights not only to defeat the Zanscare Empire but also to find out what has become of his parents, who left him behind when they went into space.
<br><br>
(Source: Anime News Network)","Drama, Mecha, Sci-Fi",51.0,66,"Metchet Rubence, Mandella Soone, Lupe Cineau, Raior Sabato, Fuala Griffon, Ness Husher, Kwan Lee, Katejina Loos, Üso Ewin, Gilla Wattary, Peggy Lee, Helen Jackson, Maria Pia Armonia, Connie Francis, Suzy Relane, Warren Trace, Haro, Romero Marvall, Junko Jenko, Oliver Inoue, Chronicle Asher, Torry Aaes, Shakti Kareen, Vago Tassilo, Marvet Fingerhat"
Shin Kidou Senki Gundam Wing,"Mankind has moved into space. Thousands of people live on giant orbiting space colonies called ""Sides."" However, the Earth Government, which rules the colonies, is unjust and cruel. A group of revolutionaries build five robotic weapons called Gundams and plan to send them to Earth to begin their fight for independence. Piloted by five young men, these Gundams carry the colonists' hopes and dreams of freedom with them as they descend to Earth to begin Operation Meteor!<br>
<br>
(Source: Nozomi Entertainment)","Action, Adventure, Drama, Mecha, Sci-Fi",49.0,71,"Abdul, Lt. Nichol, Treize Khushrenada, Noventa, Heero Yuy, Rashid Kurama, Duo Maxwell, Vice Foreign Minister Darlian, Relena Peacecraft, Zechs Marquise, Quatre Raberba Winner, Sally Po, Catherine Bloom, Trowa Barton, Hilde Schweiker, Mrs. Darlian, Count Townsend, Dorothy Catalonia, Duke Dermail, Wufei Chang, Sylvia Noventa, Lady Une, Lucrezia Noin, Trant Clark, Quinze"
Shin Kidou Senki Gundam Wing: Endless Waltz,"After Colony 196 - One year has passed since the war between Earth and its colonies ended. Heero, Duo, Trowa and Quatre bid farewell to their Gundams and jettison them to the sun. Relena Darlian is now the deputy minister of the Earth Sphere Unified Nation. But as the Gundam pilots are adjusting to the peace on Earth, Relena is kidnapped and a new threat appears, led by Marimeia Khushrenada - daughter of the late dictator Treize Khushrenada and heir to the Barton Foundation. To make matters more complicated, Gundam Nataku pilot Wufei has sided with this faction. The Gundam pilots must recover their mobile suits and once again engage in battle before Marimeia's forces succeed on their bid for global domination.
<br><br>
(Source: Anime News Network)","Action, Drama, Mecha, Sci-Fi",3.0,72,"Abdul, Heero Yuy, Rashid Kurama, Duo Maxwell, Relena Peacecraft, Zechs Marquise, Quatre Raberba Winner, Trowa Barton, Sally Po, Onnanoko A, Wufei Chang, Lady Une, Lucrezia Noin, Mariemaia Khushrenada, Professor G, Catherine Bloom, Doctor J, Instructor H, Howard, Narrator"
Kidou Shin Seiki Gundam X,"When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop. Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past. ","Adventure, Drama, Mecha, Sci-Fi",39.0,71,"Shagia Frost, Toniya Malme, Tiffa Adill, Joe Grits, Witz Sou, Garrod Ran, Pala Sys, Jamil Neate, Olba Frost, Sara Tyrell, Roybea Roy, Carris Nautilus, Ennil El, Techs Farzenbarg, Lancerow Dowell, Vedoba Morte, Katokk Alzamille, Kid Salsamille"
Kidou Senshi Gundam SEED,"C.E. 71: In the midst of war between the Naturals (OMNI) and Coordinators (ZAFT), a unit from ZAFT is dispatched to hijack the Earth Alliance's newly developed mobile suits on the neutral colony of Heliopolis. Orb Civilian Coordinator Kira Yamato attends the technical college on Heliopolis. After ZAFT hijacks 4 of the 5 mobile suits, Kira stumbles upon the last one, Strike, forced to pilot it to save his and his friend's lives. During this confusion, Kira also reunites with his childhood Coordinator friend, Athrun Zala, who ironically turns out to be a ZAFT soldier and one of the hijackers at Heliopolis. Having control of Strike, Kira joins the Earth Alliance boarding the ship known as Archangel, to protect his friends while despairing over becoming the enemy of his childhood friend and people.
<br><br>
<i>Note: An HD remaster was broadcasting starting on December 23, 2011 with two recap episodes cut, including new and updated animation, conversion to 16:9, and updated music.</i>","Action, Drama, Mecha, Sci-Fi",50.0,72,"Yzak Joule, Haro, Ezalia Joule, Murrue Ramius, Athrun Zala, Kira Yamato, Natarle Badgiruel, Flay Allster, Lacus Clyne, Reverend Malchio, George Allster, Rau Le Creuset, Miriallia Haw, Mu La Flaga, Andrew Waltfeld, Sai Argyle, Uzumi Nara Athha, Cagalli Yula Athha, Eileen Canaver, Muruta Azrael, Tolle Koenig, Shani Andras, Haruma Yamato, Clotho Buer, Dearka Elsman"
Kidou Senshi Gundam SEED DESTINY,"C.E. 73: While the second battle of Yachin Due brought the war between the Naturals and Coordinators to a close, tensions between the two races are at an all-time high. During a meeting between PLANT Chairman Gilbert Dullindal and Orb Representative Cagalli Yula Athha, a unit of soldiers hijack ZAFT's newly developed Gundams. ZAFT soldier Shinn Asuka along with his friends at the ZAFT ship Minerva sortie in attempt to deter this hijacking. With the assistance of Cagalli's bodyguard, Athrun Zala, the Minerva chases after the unknown ship that hijacked the Gundams until an even greater problem occurs leading to the start of the second Bloody Valentine war.
<br><Br>
<i>Note: On March 2013, the airing of the HD Remaster began. Like the HD Remaster of Gundam SEED, the remaster of this series not only improves the animation, but also alters lines and scenes from the original, as well as introducing brand new mobile suits. The episode count for the remaster was 50 episodes. The recap episode ""Refrain"" was completely omitted from the HD Remaster, while the final episode divided into two parts: ""Final Power"" and ""The Chosen Future"", based on the ""The Chosen Future"" television special, with additional footage.</i>","Action, Drama, Mecha, Romance, Sci-Fi",50.0,65,"Yzak Joule, Yolan Kent, Shinn Asuka, Haro, Murrue Ramius, Athrun Zala, Kira Yamato, Natarle Badgiruel, Stella Loussier, Lacus Clyne, Meer Campbell, Arthur Trine, Yuna Roma Seiran, Bart Heim, Lunamaria Hawke, Malik Yardbirds, Mars Symeon, Sting Oakley, Rey Za Burrel, Rau Le Creuset, Miriallia Haw, Meyrin Hawke, Mu La Flaga, Hilda Harken, Abbey Windsor"
∀ Gundam,"This story is set thousands of years in the future. The people of Earth have forgotten the space wars of the past, reverting back to a pre-industrial existence. But the lunar settlers known as the Moonrace, who have retained their high technology, now plan to seize their mother planet for themselves. As the war of the worlds begins, a young Moonrace citizen named Loran Cehack, pilot of the legendary Turn A Gundam, struggles to bridge the gap between humanity's long-separated branches.<br><br>
(Source: GundamOfficial)","Action, Adventure, Drama, Mecha, Sci-Fi",50.0,80,"Loran Cehack, Keith Laijie, Gym Ghingham, Taruka, Fran Doll, Muron Muron, Phil Ackman, Yanny Oviess, Gavane Goonny, Harry Ord, Teteth Halleh, Kihel Heim, Dianna Soreil, Sochie Heim, Cancer Kafka, Agrippa Maintainer, Merrybell Gadget, Bruno, Sid Munzer, Lily Borjarno, Joseph Yaht, Guin Sard Rhineford, Corin Nander, Jacop, Michael Gern"
Kidou Butouden G Gundam,"It is time for the ""Gundam Fight"" tournament! Each country sends a Gundam to Earth for this prestigious tournament in the hopes of winning power and glory for their homeland! But this time, there's an unseen evil lurking behind the scene. Domon Kasshu, Neo Japan's reluctant Fighter, is determined to uncover this evil and clear his family name! The fight to the top begins now!<br>
<br>
(Source: Nozomi Entertainment)","Action, Adventure, Drama, Mecha, Romance",49.0,74,"Domon Kasshu, Sai Saici, Akino, Ulube Ishikawa, Jean-Pierre Mirabeau, Rain Mikamura, Cecile Holger, Dr. Mikamura, Chibode Croquette, George de Sand, Cath Ronary, Maria Louise, Alan Lee, Allenby Beardsley, Tris Surugeiref, Hans Holger, Bunny Higgins, Chico Rodriguez, Chandra Shijiema, Tohofuhai Master Asia, Janet Smith, Norma Graham, Wong Yunfat, Schwarz Bruder, Kyouji Kasshu"
Last Exile,"It's the dawn of the Golden Age of Aviation on planet Prester, and retro-futuristic sky vehicles known as vanships dominate the horizon. Claus Valca &ndash; a flyboy born with the right stuff &ndash; and his fiery navigator Lavie are fearless racers obsessed with becoming the first sky couriers to cross the Grand Stream in a vanship. But when the high-flying duo encounters a mysterious girl named Alvis, they are thrust into the middle of an endless battle between Anatoray and Disith &ndash; two countries systematically destroying each other according to the code of chivalric warfare. Lives will be lost and legacies determined as Claus and Lavie attempt to bring peace to their world by solving the riddle of its chaotic core.<br>
<br>
(Source: Funimation)","Action, Adventure, Sci-Fi",26.0,74,"Ethan Pelerin, Lady Mad-thane, Alex Row, Claus Valca, Vincent Alzey, Mullin Shetland, Hurricane Hawk, Lavie Head, Sophia Forrester, Alvis E. Hamilton, Tatiana Wisła, Alister Agrew, Wina Lightning, Delphine Eraclea, Holly Mad-thane, Anthony Kostabi, Ralph Wednesday, Hamilcar Valca, Dio Eraclea, Dunya Scheer, Lucciola, Charles Knowles, Henry Knowles, Gale Frank, Georges Head"
